0;0;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;2;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;3;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;6;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;7;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;8;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;9;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;10;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
0;11;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;0;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;2;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;3;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;4;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;5;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;6;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;7;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;8;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;9;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;10;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
1;11;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;1;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;2;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;3;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;4;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;6;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;7;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;9;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;10;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
2;11;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;0;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;1;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;2;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;3;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;4;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;5;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;6;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;8;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;9;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;10;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
3;11;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;0;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;1;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;2;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;3;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;4;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;5;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;7;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;8;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;9;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;10;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
4;11;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;1;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;2;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;4;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;5;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;6;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
5;7;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;0;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;1;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;2;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;3;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;4;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;6;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
6;7;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;1;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;2;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;4;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;5;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;6;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
7;7;B;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;0;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;1;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;2;Y;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;3;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;4;Y;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;6;A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;7;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
9;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
